epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,81.6894,0.47681,0.35911,0.90088,0.99642,1,0.995,0.88822,0.5441,0.25555,0.92193,0.000820675,0.000820675,0.000820675
45,83.5131,0.43906,0.34795,0.88318,0.99746,1,0.995,0.88925,0.55286,0.2692,0.9309,0.000806528,0.000806528,0.000806528
46,85.3481,0.45246,0.33972,0.87625,0.99721,1,0.995,0.89469,0.53956,0.24619,0.92438,0.00079238,0.00079238,0.00079238
47,87.1608,0.46544,0.33994,0.87754,0.99634,1,0.995,0.89585,0.52173,0.25185,0.92008,0.000778233,0.000778233,0.000778233
48,89.0537,0.45248,0.3461,0.87722,0.99133,1,0.995,0.88849,0.53534,0.26041,0.92376,0.000764086,0.000764086,0.000764086
49,90.8774,0.42359,0.3347,0.87609,0.99673,1,0.995,0.86991,0.54846,0.25821,0.93173,0.000749939,0.000749939,0.000749939
50,92.7117,0.4409,0.3475,0.88138,0.99703,1,0.995,0.86642,0.59843,0.26366,0.94795,0.000735792,0.000735792,0.000735792
51,94.5212,0.45673,0.32176,0.89055,0.99501,1,0.995,0.87321,0.57276,0.25987,0.94398,0.000721645,0.000721645,0.000721645
52,96.36,0.46475,0.3174,0.88074,0.99707,1,0.995,0.88885,0.52114,0.23041,0.921,0.000707498,0.000707498,0.000707498
53,98.2418,0.43694,0.31511,0.87601,0.99639,1,0.995,0.88115,0.53043,0.24518,0.92819,0.000693351,0.000693351,0.000693351
54,100.073,0.43551,0.30986,0.87589,0.99711,1,0.995,0.88653,0.54491,0.23984,0.92914,0.000679204,0.000679204,0.000679204
55,101.896,0.44288,0.32324,0.89732,0.99728,1,0.995,0.88967,0.54166,0.2382,0.93511,0.000665057,0.000665057,0.000665057
56,103.74,0.40977,0.30163,0.87606,0.99596,1,0.995,0.8901,0.5513,0.2365,0.938,0.000650909,0.000650909,0.000650909
57,105.561,0.41672,0.29954,0.87276,0.99754,1,0.995,0.88332,0.54453,0.23327,0.92955,0.000636762,0.000636762,0.000636762
58,107.475,0.45369,0.31521,0.88305,0.99695,1,0.995,0.88961,0.51937,0.2332,0.91993,0.000622615,0.000622615,0.000622615
59,109.3,0.42299,0.30101,0.87567,0.99613,1,0.995,0.87875,0.5555,0.24018,0.93482,0.000608468,0.000608468,0.000608468
60,111.133,0.43737,0.31016,0.87846,0.99746,1,0.995,0.87251,0.59316,0.25022,0.95677,0.000594321,0.000594321,0.000594321
61,112.951,0.45111,0.30275,0.89921,0.99724,1,0.995,0.88521,0.54321,0.23201,0.93467,0.000580174,0.000580174,0.000580174
62,114.783,0.42376,0.29087,0.89036,0.99705,1,0.995,0.88256,0.56073,0.24223,0.9395,0.000566027,0.000566027,0.000566027
63,116.603,0.41409,0.28828,0.87349,0.99749,1,0.995,0.88859,0.56887,0.25071,0.94839,0.00055188,0.00055188,0.00055188
64,118.502,0.42526,0.28724,0.87897,0.99639,1,0.995,0.89623,0.51708,0.24619,0.91474,0.000537733,0.000537733,0.000537733
65,120.322,0.42514,0.2891,0.87799,0.99667,1,0.995,0.89156,0.52541,0.24204,0.92374,0.000523586,0.000523586,0.000523586
66,122.163,0.41325,0.29229,0.88305,0.99703,1,0.995,0.8929,0.52026,0.23539,0.92625,0.000509438,0.000509438,0.000509438
67,123.986,0.39556,0.27384,0.86207,0.99772,1,0.995,0.88314,0.57556,0.24359,0.94543,0.000495291,0.000495291,0.000495291
68,125.822,0.42522,0.27963,0.87002,0.99722,1,0.995,0.87398,0.59512,0.26224,0.95787,0.000481144,0.000481144,0.000481144
69,127.71,0.40435,0.27692,0.87687,0.99651,1,0.995,0.89134,0.52992,0.23556,0.93159,0.000466997,0.000466997,0.000466997
70,129.539,0.40319,0.2666,0.87605,0.99715,1,0.995,0.89686,0.54326,0.22966,0.93852,0.00045285,0.00045285,0.00045285
71,131.359,0.40851,0.27059,0.86989,0.99743,1,0.995,0.88398,0.58088,0.23483,0.96659,0.000438703,0.000438703,0.000438703
72,133.193,0.39967,0.26514,0.87239,0.99632,1,0.995,0.88479,0.58504,0.23203,0.95203,0.000424556,0.000424556,0.000424556
73,135.025,0.395,0.25497,0.86119,0.99694,1,0.995,0.87748,0.57212,0.2306,0.94606,0.000410409,0.000410409,0.000410409
74,136.874,0.41061,0.27999,0.87344,0.99715,1,0.995,0.88545,0.55993,0.21675,0.94737,0.000396262,0.000396262,0.000396262
75,138.753,0.3996,0.26245,0.87094,0.99684,1,0.995,0.88744,0.54116,0.21269,0.94429,0.000382115,0.000382115,0.000382115
76,140.59,0.39052,0.26607,0.87023,0.99678,1,0.995,0.89172,0.50492,0.21904,0.92692,0.000367967,0.000367967,0.000367967
77,142.417,0.39764,0.25753,0.88121,0.99663,1,0.995,0.86607,0.57555,0.22042,0.95809,0.00035382,0.00035382,0.00035382
78,144.265,0.39681,0.26093,0.86949,0.99735,1,0.995,0.88714,0.52035,0.22285,0.92578,0.000339673,0.000339673,0.000339673
79,146.082,0.39774,0.24769,0.8642,0.99693,1,0.995,0.88775,0.55308,0.2195,0.94182,0.000325526,0.000325526,0.000325526
80,147.981,0.38279,0.25429,0.86309,0.99725,1,0.995,0.90187,0.52735,0.21071,0.9326,0.000311379,0.000311379,0.000311379
81,149.815,0.37983,0.24852,0.87294,0.99724,1,0.995,0.87947,0.57815,0.21988,0.96225,0.000297232,0.000297232,0.000297232
82,151.668,0.38769,0.24988,0.86185,0.99681,1,0.995,0.88291,0.54447,0.21436,0.95178,0.000283085,0.000283085,0.000283085
83,153.503,0.38755,0.25225,0.87534,0.99684,1,0.995,0.88053,0.57066,0.22402,0.96118,0.000268938,0.000268938,0.000268938
84,155.343,0.37275,0.24854,0.86179,0.99713,1,0.995,0.88862,0.5575,0.22411,0.9519,0.000254791,0.000254791,0.000254791
85,157.166,0.35466,0.23287,0.85077,0.99699,1,0.995,0.88997,0.58671,0.22706,0.96456,0.000240644,0.000240644,0.000240644
86,159.068,0.36332,0.24018,0.85409,0.99709,1,0.995,0.88848,0.55108,0.21359,0.94609,0.000226497,0.000226497,0.000226497
87,160.874,0.37794,0.24284,0.86086,0.99712,1,0.995,0.87887,0.58411,0.22376,0.9606,0.000212349,0.000212349,0.000212349
88,162.698,0.36245,0.23341,0.86232,0.99756,1,0.995,0.89249,0.56203,0.22123,0.94792,0.000198202,0.000198202,0.000198202
89,164.519,0.36441,0.23371,0.86636,0.99746,1,0.995,0.88334,0.55296,0.21351,0.94659,0.000184055,0.000184055,0.000184055
90,166.374,0.35856,0.22629,0.85789,0.9971,1,0.995,0.88458,0.53349,0.21033,0.93581,0.000169908,0.000169908,0.000169908
91,169.002,0.32351,0.20938,0.80584,0.99745,1,0.995,0.8943,0.5397,0.20759,0.93678,0.000155761,0.000155761,0.000155761
92,170.832,0.31885,0.20354,0.81113,0.99721,1,0.995,0.89406,0.54756,0.21877,0.93818,0.000141614,0.000141614,0.000141614
93,172.638,0.30652,0.19184,0.8077,0.99723,1,0.995,0.89885,0.53638,0.21196,0.93748,0.000127467,0.000127467,0.000127467
94,174.464,0.31237,0.18734,0.80604,0.99699,1,0.995,0.88816,0.53958,0.22048,0.93784,0.00011332,0.00011332,0.00011332
95,176.282,0.29662,0.18216,0.80845,0.9968,1,0.995,0.88444,0.54222,0.21006,0.94033,9.91726e-05,9.91726e-05,9.91726e-05
96,178.098,0.30236,0.1868,0.80042,0.99664,1,0.995,0.895,0.52859,0.2102,0.93203,8.50255e-05,8.50255e-05,8.50255e-05
97,179.982,0.2954,0.18244,0.79043,0.99673,1,0.995,0.89254,0.54016,0.21463,0.93933,7.08784e-05,7.08784e-05,7.08784e-05
98,181.804,0.29534,0.1762,0.80844,0.99675,1,0.995,0.89339,0.54356,0.21179,0.94075,5.67313e-05,5.67313e-05,5.67313e-05
99,183.611,0.28908,0.17629,0.78978,0.9968,1,0.995,0.89446,0.53918,0.20689,0.93808,4.25842e-05,4.25842e-05,4.25842e-05
100,185.427,0.28924,0.17369,0.80438,0.99693,1,0.995,0.89791,0.52875,0.20448,0.93361,2.84371e-05,2.84371e-05,2.84371e-05
